"","Hand","Frequency","Total","Probability"
"1","High Card",1681,10000,"16.81%"
"2","One Pair",4440,10000,"44.4%"
"3","Two Pairs",2449,10000,"24.49%"
"4","Three of a Kind",506,10000,"5.06%"
"5","Straight",346,10000,"3.46%"
"6","Flush",306,10000,"3.06%"
"7","Full House",251,10000,"2.51%"
"8","Four of a Kind",17,10000,"0.17%"
"9","Straight Flush",3,10000,"0.03%"
"10","Royal Flush",1,10000,"0.01%"
